disagreement_bin,endpoint,mean,model_id,n,omitted_model_id
diffuse,sampling_compression,1.5410909769442749,all_models,400,grok-4.3
high_consensus,sampling_compression,0.5606333141823262,all_models,280,grok-4.3
low_consensus,sampling_compression,1.2744290884979073,all_models,600,grok-4.3
low_diffuse,sampling_compression,1.3810938438764544,all_models,1000,grok-4.3
moderate_consensus,sampling_compression,0.9821981537778528,all_models,320,grok-4.3
diffuse,sampling_compression,1.490866336142734,all_models,400,qwen/qwen3.7-max
high_consensus,sampling_compression,0.5406717042927977,all_models,280,qwen/qwen3.7-max
low_consensus,sampling_compression,1.2390172345001114,all_models,600,qwen/qwen3.7-max
low_diffuse,sampling_compression,1.3397568751571605,all_models,1000,qwen/qwen3.7-max
moderate_consensus,sampling_compression,0.9656973090060992,all_models,320,qwen/qwen3.7-max
